"trial_id","first_rating","group_rating","feedback"
1,3,5,2
2,7,3,-4
3,4,4,0
4,7,8,1
5,8,4,-4
6,1,7,6
7,5,7,2
8,7,5,-2
9,5,4,-1
10,4,2,-2
11,8,8,0
12,4,3,-1
13,6,1,-5
14,5,8,3
15,2,6,4
16,7,2,-5
17,3,5,2
18,1,8,7
19,3,5,2
20,8,4,-4
21,7,6,-1
22,6,3,-3
23,5,3,-2
24,8,3,-5
25,6,4,-2
26,6,8,2
27,5,2,-3
28,5,2,-3
29,3,2,-1
30,2,6,4
31,8,5,-3
32,7,7,0
33,6,6,0
34,7,6,-1
35,1,5,4
36,4,6,2
37,6,7,1
38,3,7,4
39,3,8,5
40,3,4,1
41,2,3,1
42,4,4,0
43,4,1,-3
44,4,2,-2
45,2,7,5
46,2,3,1
47,3,3,0
48,4,2,-2
49,3,3,0
50,7,6,-1
51,1,7,6
52,4,4,0
53,7,4,-3
54,2,3,1
55,5,2,-3
56,2,4,2
57,2,5,3
58,6,3,-3
59,7,4,-3
60,4,3,-1
61,6,5,-1
62,2,3,1
63,4,6,2
64,3,4,1
65,7,3,-4
66,4,5,1
67,7,6,-1
68,7,3,-4
69,7,4,-3
70,4,3,-1
71,6,5,-1
72,5,2,-3
73,6,7,1
74,1,6,5
75,4,6,2
76,3,5,2
77,4,4,0
78,5,5,0
79,3,7,4
80,2,5,3
81,3,7,4
82,6,3,-3
83,4,6,2
84,7,3,-4
85,2,5,3
86,4,4,0
87,8,3,-5
88,7,5,-2
89,7,7,0
90,2,7,5
91,2,3,1
92,6,3,-3
93,3,8,5
94,6,5,-1
95,3,8,5
96,2,4,2
97,6,4,-2
98,2,6,4
99,4,2,-2
100,5,5,0
